[INFO][2022-03-05 11:30:35.160037] - ARD7TVE1187B99BFB1,Casual,California - LA,nan,nan 
[INFO][2022-03-05 11:30:35.320102] - ARNTLGG11E2835DDB9,Clp,,nan,nan 
[INFO][2022-03-05 11:30:36.601793] - 69,Anabelle,Simpson,F,free 
[INFO][2022-03-05 11:30:36.618184] - 16,Rylan,George,M,paid 
[INFO][2022-03-05 11:30:36.625207] - 28,Brantley,West,M,free 
[INFO][2022-03-05 11:30:36.627421] - 80,Tegan,Levine,F,paid 
[INFO][2022-03-05 11:30:36.629334] - 77,Magdalene,Herman,F,free 
[INFO][2022-03-05 11:30:36.632656] - 37,Jordan,Hicks,F,free 
[INFO][2022-03-05 11:30:36.635771] - 32,Lily,Burns,F,free 
[INFO][2022-03-05 11:30:38.226381] - 80,Tegan,Levine,F,paid 
[INFO][2022-03-05 11:30:38.228507] - 74,Braden,Parker,M,free 
[INFO][2022-03-05 11:30:38.229012] - 55,Martin,Johnson,M,free 
[INFO][2022-03-05 11:30:38.234635] - 50,Ava,Robinson,F,free 
[INFO][2022-03-05 11:30:38.236432] - 100,Adler,Barrera,M,free 
[INFO][2022-03-05 11:30:38.241327] - 69,Anabelle,Simpson,F,free 
[INFO][2022-03-05 11:30:38.243773] - 33,Bronson,Harris,M,free 
[INFO][2022-03-05 11:30:38.244942] - 6,Cecilia,Owens,F,free 
[INFO][2022-03-05 11:30:38.250843] - 32,Lily,Burns,F,free 
[INFO][2022-03-05 11:30:38.252501] - 37,Jordan,Hicks,F,free 
[INFO][2022-03-05 11:30:38.254167] - 26,Ryan,Smith,M,free 
[INFO][2022-03-05 11:30:38.254655] - 49,Chloe,Cuevas,F,paid 
[INFO][2022-03-05 11:30:38.255103] - 24,Layla,Griffin,F,paid 
[INFO][2022-03-05 11:30:38.255547] - 88,Mohammad,Rodriguez,M,paid 
[INFO][2022-03-05 11:30:38.257147] - 73,Jacob,Klein,M,paid 
[INFO][2022-03-05 11:30:39.768529] - 9,Wyatt,Scott,M,free 
[INFO][2022-03-05 11:30:39.770397] - 80,Tegan,Levine,F,paid 
[INFO][2022-03-05 11:30:39.774700] - 10,Sylvie,Cruz,F,free 
